student_id,gender,department,location,study_mode,parental_edu,internet_access,part_time_job,study_hours_day,attendance_pct,prev_gpa,final_grade,dropout_risk,attendance_band,grade_letter
STU0001,Male,Electronics,Rural,Full-Time,None,1,0,1.0,80.0,6.46,6.08,0,75-89%,C
STU0002,Female,Civil,Semi-Urban,Full-Time,Graduate,1,0,7.0,60.0,6.06,8.77,0,60-74%,A
STU0003,Female,Mechanical,Rural,Part-Time,None,0,1,7.0,60.0,4.59,5.9,0,60-74%,C
STU0004,Female,Computer Science,Semi-Urban,Part-Time,High School,0,1,6.0,93.0,5.5,5.04,0,90%+,D
STU0005,Male,Civil,Rural,Full-Time,Post-Graduate,1,0,7.0,67.0,6.97,7.56,0,60-74%,B
STU0006,Male,Mechanical,Semi-Urban,Full-Time,High School,1,0,2.0,57.0,9.75,7.96,1,<60%,B
STU0007,Male,Arts,Rural,Full-Time,Post-Graduate,0,1,9.0,73.0,4.58,3.74,1,60-74%,F
STU0008,Male,Electronics,Semi-Urban,Full-Time,Graduate,1,0,6.0,86.0,9.79,7.76,0,75-89%,B
STU0009,Female,Computer Science,Urban,Part-Time,High School,1,0,8.0,98.0,9.92,9.61,0,90%+,A
STU0010,Female,Electronics,Urban,Full-Time,Graduate,0,0,4.0,48.0,5.67,4.64,1,<60%,D
STU0011,Male,Arts,Urban,Full-Time,Post-Graduate,1,0,6.0,69.0,7.89,6.81,0,60-74%,C
STU0012,Female,Mechanical,Urban,Full-Time,Graduate,1,0,9.0,86.0,8.57,9.6,0,75-89%,A
STU0013,Male,Civil,Semi-Urban,Full-Time,Graduate,1,1,8.0,56.0,6.44,6.38,1,<60%,C
STU0014,Female,Electronics,Urban,Full-Time,Post-Graduate,1,0,1.0,55.0,6.86,4.31,1,<60%,D
STU0015,Female,Civil,Urban,Part-Time,Graduate,0,0,5.0,92.0,5.91,7.31,0,90%+,B
STU0016,Male,Electronics,Semi-Urban,Full-Time,Graduate,1,0,1.0,85.0,7.05,7.03,1,75-89%,B
STU0017,Male,Computer Science,Urban,Full-Time,Graduate,1,0,5.0,69.0,6.91,7.69,0,60-74%,B
STU0018,Female,Arts,Semi-Urban,Full-Time,Graduate,1,1,7.0,85.0,7.05,6.62,0,75-89%,C
STU0019,Female,Computer Science,Urban,Part-Time,Post-Graduate,1,0,9.0,58.0,7.5,8.22,1,<60%,B
